CN;Heilongjiang;Songjiang;46.8344;130.432
IT;Friuli Venezia Giulia;Udine;46.0693;13.2372
IT;Trentino-Alto Adige;Predazzo;46.3114;11.5996
IT;Friuli Venezia Giulia;Buia;46.2122;13.1169
IT;Friuli Venezia Giulia;Moggio di Sotto;46.4065;13.1951
IT;Trentino-Alto Adige;Revò;46.3923;11.0581
IT;Veneto;Pieve di Cadore;46.4247;12.3642
IT;Trentino-Alto Adige;Trento;46.0679;11.1211
IT;Trentino-Alto Adige;Bolzano;46.4907;11.3398
IT;Trentino-Alto Adige;Sarche;46.0477;10.9532
IT;Trentino-Alto Adige;Brixen;46.715;11.656
IT;Trentino-Alto Adige;Pineta;46.4399;11.3473
IT;Trentino-Alto Adige;Renon;46.5415;11.4573
IT;Lombardy;Andalo Valtellino;46.136;9.47384
IT;Lombardy;Bormio;46.4672;10.3701
IT;Trentino-Alto Adige;Pieve Tesino;46.0682;11.6112
CH;Bern;Bern;46.948;7.44745
AT;Tyrol;Untertilliach;46.7035;12.6776
AT;Carinthia;Klagenfurt;46.5882;14.2742
FR;Centre-Val de Loire;Saint-Genou;46.9295;1.33676
CH;Grisons;Igis;46.9453;9.57218
FR;Pays de la Loire;Saint-Hilaire-de-Riez;46.7211;-1.94594
FR;Nouvelle-Aquitaine;La Rochelle;46.1631;-1.15222
FR;Auvergne-Rhône-Alpes;Châtillon-sur-Cluses;46.0877;6.58041
FR;Auvergne-Rhône-Alpes;Saint-Genis-Pouilly;46.2369;6.02451
RU;Krasnodar Krai;Krasnoye;46.7373;39.5645
KZ;Karaganda;Balqash;46.8455;74.9821
KZ;Atyrau Oblisi;Qaraton;46.4369;53.4891
KZ;Atyrau Oblisi;Qulsary;46.9531;54.0198
IT;Trentino-Alto Adige;Niederdorf;46.7377;12.1694
IT;Veneto;Sedico;46.0992;12.0933
IT;Trentino-Alto Adige;Bolzano;46.4875;11.3417
IT;Lombardy;Dervio;46.0738;9.30377
IT;Trentino-Alto Adige;Bolzano;46.4983;11.3548
IT;Trentino-Alto Adige;Trento;46.071;11.1194
IT;Trentino-Alto Adige;Cavalese;46.2924;11.4557
IT;Lombardy;Castelvetro-Posseggia;46.1635;10.0463
IT;Trentino-Alto Adige;Trento;46.0748;11.1217
IT;Trentino-Alto Adige;Ridanna;46.9106;11.3047
IT;Trentino-Alto Adige;Rifiano;46.7031;11.1807
IT;Trentino-Alto Adige;Renon - Ritten;46.5333;11.4489
IT;Veneto;Safforze;46.1723;12.2549
IT;Trentino-Alto Adige;Urtijëi;46.5749;11.6712
IT;Friuli Venezia Giulia;Fagagna;46.1177;13.0819
IT;Friuli Venezia Giulia;Udine;46.069;13.2475
IT;Friuli Venezia Giulia;Campoformido;46.0299;13.1755
IT;Piedmont;Domodossola;46.1165;8.29313
IT;Veneto;Sedico;46.1056;12.0933
IT;Lombardy;Colorina;46.1537;9.72935
IT;Veneto;Belluno;46.1426;12.2156
IT;Trentino-Alto Adige;Alba-Penia;46.4578;11.7974
IT;Lombardy;Ponte di Legno;46.259;10.5105
IT;Veneto;Feltre;46.0209;11.9003
IT;Piedmont;Villadossola;46.0708;8.26709
IT;Friuli Venezia Giulia;Paludea;46.1995;12.9034
IT;Trentino-Alto Adige;San Vigilio;46.6988;11.931
IT;Friuli Venezia Giulia;Gemona;46.2741;13.1224
IT;Lombardy;Sondrio;46.1699;9.87877
IT;Friuli Venezia Giulia;Udine;46.0362;13.2425
IT;Lombardy;Livigno;46.5363;10.1335
IT;Friuli Venezia Giulia;Povoletto;46.0925;13.2929
CA;Ontario;Greater Sudbury;46.49;-80.99
CA;Prince Edward Island;Charlottetown;46.2382;-63.1311
CH;Geneva;Geneva;46.2044;6.14316
CA;Quebec;Québec;46.8131;-71.2075
CA;Quebec;Québec;46.8139;-71.208
UA;Odesa;Lativka;46.5656;30.7152
UA;Odesa;Odesa;46.4857;30.7438
CH;Vaud;Lausanne;46.5197;6.63227
CH;Valais;Monthey;46.2637;6.94575
CH;Vaud;Lausanne;46.5173;6.64003
CH;Vaud;Crissier;46.5519;6.57435
RO;Alba County;Alba Iulia;46.0667;23.5833
RO;Alba County;Bărăbanț;46.0993;23.5849
RO;Vaslui County;Vaslui;46.6333;27.7333
RO;Vaslui County;Vaslui;46.6407;27.7276
RO;Mureș County;Cristeşti;46.5;24.4833
RO;Mureș County;Vidrasău;46.4755;24.4154
RO;Cluj County;Cluj-Napoca;46.7667;23.6
RO;Cluj County;Apahida;46.8167;23.75
RO;Cluj County;Feleacu;46.7167;23.6167
RO;Mureș County;Corunca;46.5207;24.6179
RO;Mureș County;Târgu Mureş;46.5424;24.5575
RO;Mureș County;Chirileu;46.4766;24.383
RO;Mureș County;Sighișoara;46.2214;24.7928
RO;Neamț County;Ciritei;46.9311;26.4088
RO;Sibiu County;Mediaş;46.1573;24.3472
RO;Cluj County;Câmpia Turzii;46.55;23.8833
RU;Sakhalin Oblast;Yuzhno-Sakhalinsk;46.9641;142.735
IT;Veneto;Levego;46.1568;12.2649
FR;Pays de la Loire;Les Essarts;46.774;-1.22953
MD;Chișinău Municipality;Chisinau;46.9917;28.8612
RO;Bihor County;Cihei;46.9987;21.9529
RO;Bacău County;Bacau;46.567;26.9146
RO;Bacău County;Bacau;46.5672;26.9138
RO;Bacău County;Luncani;46.6089;26.7626
RO;Bacău County;Lespezi;46.6649;26.7688
RO;Bacău County;Barați;46.5757;26.8712
RO;Bacău County;Bereşti-Bistriţa;46.7167;26.8333
RO;Bacău County;Mărgineni-Munteni;46.6;26.9
RO;Bacău County;Drăgușani;46.2982;26.9865
RO;Bacău County;Hemeiuș;46.6264;26.8544
RO;Bacău County;Tisa-Silvestri;46.6535;27.1407
RO;Bacău County;Letea Veche;46.55;26.95
RO;Bacău County;Filipeni;46.5333;27.1833
RO;Bacău County;Horgeşti;46.4333;27.0667
RO;Alba County;Gârda de Sus;46.45;22.8167
RO;Neamț County;Roman;46.9334;26.9265
RO;Neamț County;Roman;46.9212;26.9265
RO;Neamț County;Cotu Vameș;46.906;26.9554
RO;Neamț County;Horia;46.907;26.9192
RO;Bacău County;Cireșoaia;46.2482;26.5493
RO;Bacău County;Oneşti;46.25;26.75
RO;Bacău County;Lunca Asău;46.435;26.4116
RO;Bacău County;Oituz;46.2;26.6167
RO;Bacău County;Păltiniș;46.5433;26.3572
RO;Bacău County;Slobozia;46.2779;26.7886
RO;Bacău County;Brătești;46.3254;26.6433
RO;Bacău County;Oneşti;46.2647;26.7826
RO;Bacău County;Târgu Ocna;46.279;26.613
RO;Neamț County;Piatra Neamţ;46.93;26.378
RO;Neamț County;Bărcăneşti;46.7167;26.5833
RO;Neamț County;Mastacăn;46.7892;26.4868
RO;Neamț County;Piatra Neamţ;46.9167;26.3333
RO;Neamț County;Taşca;46.9;26.0167
RO;Neamț County;Piatra Şoimului;46.8333;26.4333
RO;Neamț County;Vaduri;46.9276;26.2609
RO;Covasna County;Târgu Secuiesc;46;26.1333
RO;Cluj County;Cluj-Napoca;46.7712;23.6236
RO;Arad County;Sânpaul;46.2579;21.2686
RO;Arad County;Pecica;46.1667;21.0667
RO;Arad County;Zădăreni;46.1327;21.2182
RO;Iași County;Scânteia;46.9167;27.5667
RO;Bihor County;Poienii de Jos;46.6084;22.5006
RO;Mureș County;Iernut;46.45;24.25
RO;Mureș County;Sântana de Mureş;46.5667;24.55
RO;Mureș County;Ernei;46.605;24.6415
RO;Mureș County;Șeulia de Mureș;46.4159;24.2472
RO;Mureș County;Sâncraiu de Mureş;46.5512;24.5266
RO;Mureș County;Sânpaul;46.45;24.35
RO;Mureș County;Livezeni;46.55;24.6333
RO;Mureș County;Sântioana;46.2837;24.5513
RO;Mureș County;Beica de Jos;46.7333;24.8
RO;Mureș County;Grebenişu de Câmpie;46.6;24.3
RO;Mureș County;Crăiești;46.7577;24.425
RO;Mureș County;Daneş;46.2167;24.7
RO;Mureș County;Mica;46.3667;24.4167
RO;Mureș County;Tirimia;46.4493;24.4916
RO;Mureș County;Ungheni;46.4833;24.4667
RO;Mureș County;Mătrici;46.6528;24.9026
RO;Mureș County;Batoş;46.8833;24.6667
RO;Mureș County;Zau de Câmpie;46.6138;24.1308
RO;Mureș County;Sângeorgiu de Pădure;46.4306;24.8427
RO;Mureș County;Miercurea Nirajului;46.5333;24.8
RO;Mureș County;Ceuașu de Câmpie;46.6333;24.5167
RO;Mureș County;Nadeş;46.3167;24.7333
RO;Alba County;Micești;46.1014;23.5557
RO;Alba County;Băgău;46.3105;23.794
RO;Alba County;Ocna Mureş;46.3833;23.85
RO;Alba County;Vadu Moţilor;46.4;22.9667
RO;Alba County;Beța;46.2536;23.8153
RO;Alba County;Zlatna;46.1063;23.2316
RO;Alba County;Bălcaciu;46.1912;24.0614
RO;Alba County;Câmpeni;46.3667;23.05
RO;Alba County;Abrud;46.2741;23.0634
RO;Alba County;Cricău;46.1833;23.5667
RO;Alba County;Teiuş;46.2;23.6833
RO;Sibiu County;Mediaş;46.1667;24.35
RO;Sibiu County;Şeíca Mare;46.0167;24.15
RO;Sibiu County;Richiș;46.0979;24.4818
RO;Sibiu County;Târnava;46.1398;24.2893
RO;Sibiu County;Boian;46.2016;24.2286
RO;Sibiu County;Axente Sever;46.1;24.2167
RO;Sibiu County;Şeica Mică;46.05;24.1333
RO;Sibiu County;Șmig;46.2253;24.4454
RO;Sibiu County;Curciu;46.2443;24.4072
RO;Mureș County;Tăureni;46.5795;24.0808
RO;Mureș County;Poduri;46.6167;24.0667
RO;Mureș County;Sângeorgiu de Mureş;46.5696;24.5945
SI;Ljubljana;Ljubljana;46.0569;14.5058
SI;Maribor City Municipality;Maribor;46.5547;15.6467
SI;Žalec;Studence;46.3087;15.1628
SI;Velenje;Velenje;46.3597;15.1137
HU;Csongrád;Csongrád;46.7133;20.1424
HU;Csongrád;Szentes;46.6583;20.2608
HU;Jász-Nagykun-Szolnok;Kunszentmárton;46.8392;20.2888
HU;Jász-Nagykun-Szolnok;Öcsöd;46.9;20.4
HU;Jász-Nagykun-Szolnok;Cserkeszőlő;46.8632;20.187
HU;Baranya;Pécs;46.0727;18.2323
HU;Bács-Kiskun;Ballószög;46.8622;19.5709
HU;Bács-Kiskun;Kecskemét;46.8964;19.6897
HU;Bács-Kiskun;Kecskemét;46.9062;19.6913
HU;Bács-Kiskun;Helvécia;46.8366;19.6225
HU;Zala County;Zalaegerszeg;46.8417;16.8416
HU;Bács-Kiskun;Kerekegyháza;46.9372;19.4781
HU;Bács-Kiskun;Tiszakécske;46.9326;20.1035
HU;Bács-Kiskun;Ágasegyháza;46.8402;19.4521
HU;Csongrád;Szeged;46.253;20.1414
RU;Astrakhan Oblast;Bishtyubinka;46.3394;47.9679
HR;Varaždin;Prigorec;46.1997;16.1319
HR;Varaždin;Jerovec;46.2389;16.1086
HR;Varaždin;Lepoglava;46.2106;16.0356
HR;Koprivnica-Križevci;Koprivnica;46.1628;16.8275
HR;Koprivnica-Križevci;Križevci;46.0219;16.5425
UA;Mykolaiv;Mykolaiv;46.975;31.9946
FR;Auvergne-Rhône-Alpes;Saulcet;46.3249;3.26224
FR;Auvergne-Rhône-Alpes;Bellegarde-sur-Valserine;46.1079;5.82421
FR;Auvergne-Rhône-Alpes;Annemasse;46.1944;6.23775
FR;Auvergne-Rhône-Alpes;Quincié-en-Beaujolais;46.119;4.61635
FR;Nouvelle-Aquitaine;Poitiers;46.5826;0.34348
FR;Nouvelle-Aquitaine;Vendeuvre-du-Poitou;46.7358;0.30942
FR;Bourgogne-Franche-Comté;La Chapelle-de-Guinchay;46.2084;4.76245
FR;Bourgogne-Franche-Comté;Crêches-sur-Saône;46.2448;4.78678
FR;Nouvelle-Aquitaine;Sainte-Radegonde;46.9833;-0.25
FR;Centre-Val de Loire;Châteauroux;46.8125;1.69362
FR;Centre-Val de Loire;Briantes;46.5574;2.02181
FR;Pays de la Loire;Aubigny;46.598;-1.45409
FR;Pays de la Loire;Saint-Gilles-Croix-de-Vie;46.6997;-1.9465
FR;Bourgogne-Franche-Comté;Autun;46.951;4.29869
FR;Auvergne-Rhône-Alpes;Saint-Étienne-du-Bois;46.2899;5.29471
FR;Auvergne-Rhône-Alpes;Bény;46.3238;5.28669
FR;Auvergne-Rhône-Alpes;Roanne;46.0362;4.06802
FR;Nouvelle-Aquitaine;Nieul-sur-Mer;46.2038;-1.1678
FR;Bourgogne-Franche-Comté;Sancé;46.3393;4.83049
FR;Auvergne-Rhône-Alpes;Beaumont;46.104;6.12074
FR;Auvergne-Rhône-Alpes;Saint-Victor;46.3951;2.60819
FR;Auvergne-Rhône-Alpes;Montluçon;46.3401;2.60254
FR;Bourgogne-Franche-Comté;Virey-le-Grand;46.8333;4.86667
FR;Auvergne-Rhône-Alpes;Échenevex;46.3092;6.03963
FR;Nouvelle-Aquitaine;Lagord;46.1892;-1.15387
FR;Bourgogne-Franche-Comté;Mâcon;46.3141;4.82823
FR;Nouvelle-Aquitaine;Courçon;46.2436;-0.81303
FR;Nouvelle-Aquitaine;Loulay;46.0462;-0.50966
FR;Nouvelle-Aquitaine;Neuville-de-Poitou;46.6851;0.24474
FR;Pays de la Loire;La Ferrière;46.7139;-1.31481
FR;Bourgogne-Franche-Comté;Pontarlier;46.9035;6.35542
FR;Bourgogne-Franche-Comté;Sevrey;46.7383;4.8403
FR;Pays de la Loire;Rocheservière;46.9385;-1.5098
FR;Pays de la Loire;Cheffois;46.6672;-0.79024
FR;Bourgogne-Franche-Comté;Louhans;46.6264;5.22468
FR;Bourgogne-Franche-Comté;Saint-Martin-en-Bresse;46.8172;5.06027
FR;Pays de la Loire;Apremont;46.7501;-1.74082
FR;Pays de la Loire;Commequiers;46.7626;-1.83815
FR;Pays de la Loire;Treize-Vents;46.9204;-0.84856
FR;Pays de la Loire;Nesmy;46.591;-1.40167
FR;Auvergne-Rhône-Alpes;Sciez;46.3325;6.38413
FR;Auvergne-Rhône-Alpes;Marin;46.3794;6.52559
CH;Geneva;Geneva (Grottes - Saint-Gervais);46.2107;6.13958
MD;Hînceşti;Pogăneşti;46.6925;28.2319
CH;Vaud;Paudex;46.5055;6.66819
HR;Koprivnica-Križevci;Đurđevac;46.0411;17.0697
KZ;Karaganda;Gülshat;46.2161;74.3775
UA;Odesa;Bilyayivka;46.4895;30.2016
UA;Odesa;Prylymanske;46.4237;30.6145
RU;Rostov;Sal'sk;46.4749;41.5416
KZ;Jetisu Region;Usharal;46.1994;81.0187
HU;Zala County;Zalakomár;46.5379;17.1809
HU;Tolna County;Zomba;46.4108;18.5658
HU;Somogy County;Kéthely;46.646;17.3936
HU;Veszprém;Badacsonytomaj;46.8071;17.5138
HU;Bács-Kiskun;Szabadszállás;46.8758;19.2232
HU;Bács-Kiskun;Bugac;46.687;19.6807
IT;Piedmont;Cannobio;46.0623;8.69628
IT;Friuli Venezia Giulia;Cividale del Friuli;46.0902;13.4286
IT;Trentino-Alto Adige;Povo;46.067;11.155
IT;Trentino-Alto Adige;Urtijëi;46.576;11.6718
IT;Lombardy;Sondrio;46.1685;9.87134
IT;Friuli Venezia Giulia;Aviano-Castello;46.0676;12.5832
IT;Friuli Venezia Giulia;Vivaro;46.0766;12.7791
IT;Trentino-Alto Adige;Meran;46.6682;11.1595
IT;Friuli Venezia Giulia;Nimis;46.2066;13.2678
IT;Trentino-Alto Adige;Mals;46.6879;10.5465
IT;Trentino-Alto Adige;Pergine Valsugana;46.0643;11.2376
IT;Lombardy;Ponte in Valtellina;46.1726;9.97991
IT;Veneto;Mel;46.0618;12.0788
IT;Trentino-Alto Adige;Bolzano;46.4896;11.3165
IT;Friuli Venezia Giulia;Udine;46.0617;13.2343
IT;Friuli Venezia Giulia;Cividale del Friuli;46.0942;13.4231
CH;Fribourg;Fribourg;46.8024;7.15128
CH;Fribourg;Bulle;46.618;7.0569
CH;Fribourg;Albeuve;46.5173;7.0567
CH;Fribourg;Givisiez;46.812;7.12639
CH;Fribourg;Bulle;46.6259;7.06835
CH;Fribourg;Semsales;46.5732;6.92948
FR;Pays de la Loire;Château-d'Olonne;46.5038;-1.74097
FR;Auvergne-Rhône-Alpes;La Roche-sur-Foron;46.0636;6.3111
RU;Krasnodar Krai;Yeysk;46.6926;38.2791
RU;Astrakhan Oblast;Astrakhan;46.3485;48.0371
CH;Geneva;Geneva;46.2027;6.13279
CH;Valais;Naters;46.3254;7.98912
CH;Valais;Leukerbad;46.3794;7.62687
CH;Valais;Zermatt;46.02;7.74863
CH;Valais;Saas-Fee;46.1081;7.92741
CH;Bern;Muri bei Bern;46.9312;7.48658
AT;Carinthia;Krumpendorf am Wörthersee;46.6303;14.2122
HU;Csongrád;Szeged;46.2357;20.1943
CH;Bern;Münsingen;46.873;7.561
CH;Bern;Belp;46.8913;7.49825
CH;Bern;Belp;46.8937;7.49912
SI;Ljubljana;Ljubljana;46.0654;14.4999
IT;Trentino-Alto Adige;Sëlva;46.5547;11.7604
IT;Lombardy;Porlezza;46.0371;9.12921
IT;Lombardy;Traona;46.1474;9.53256
FR;Bourgogne-Franche-Comté;Lons-le-Saunier;46.6743;5.5546
HU;Zala;Nemesbük;46.8167;17.1526
IT;Veneto;Caviola;46.3643;11.8964
IT;Veneto;Ponte nelle Alpi-Polpet;46.1842;12.2845
CH;Vaud;Crissier;46.5441;6.57984
CH;Vaud;Pully;46.5106;6.65439
RO;Cluj County;Bădeni;46.4887;23.7362
FR;Bourgogne-Franche-Comté;Marzy;46.9813;3.09352
CH;Valais;Monthey;46.2552;6.95937
CH;Valais;Monthey;46.2555;6.95966
HU;Bekes County;Orosháza;46.5684;20.6545
HU;Bekes County;Békés;46.7667;21.1333
HU;Csongrád;Hódmezővásárhely;46.4167;20.3333
HU;Somogy County;Marcali;46.585;17.412
HU;Bekes County;Békéscsaba;46.6736;21.0877
HU;Baranya;Erzsébet;46.1004;18.4588
HU;Zala County;Lenti;46.624;16.5386
HU;Csongrád;Szeged;46.253;20.1482
HU;Somogy County;Nagyatád;46.2296;17.3579
HU;Bács-Kiskun;Tiszaalpár;46.8128;19.9984
HU;Csongrád;Deszk;46.218;20.2432
HU;Bács-Kiskun;Kiskunhalas;46.434;19.4848
HU;Somogy County;Kaposvár;46.3667;17.8
HU;Baranya;Hosszúhetény;46.1641;18.3508
HU;Zala County;Nemesbük;46.8167;17.15
HU;Tolna County;Dunaföldvár;46.8071;18.9276
HU;Bács-Kiskun;Dunapataj;46.644;18.9963
HU;Bács-Kiskun;Izsák;46.8045;19.3517
HU;Somogy County;Balatonlelle;46.7832;17.695
HU;Somogy County;Balatonboglár;46.7752;17.6441
HU;Csongrád;Balástya;46.4228;20.0082
HU;Somogy County;Siófok;46.9041;18.058
HU;Csongrád;Szatymaz;46.3431;20.0402
HU;Csongrád;Csengele;46.5423;19.8636
HU;Bács-Kiskun;Kiskunmajsa;46.4903;19.74
HU;Csongrád;Sándorfalva;46.3609;20.0989
HU;Tolna County;Tamási;46.6333;18.2833
HU;Tolna County;Pincehely;46.681;18.4394
HU;Bács-Kiskun;Érsekcsanád;46.2535;18.9846
AT;Styria;Bad Radkersburg;46.6881;15.9881
CH;Bern;Laupen;46.9021;7.23973
UA;Odesa;Lymanka;46.3856;30.6774
UA;Odesa;Kryzhanivka;46.5628;30.795
PM;Saint-Pierre;Saint-Pierre;46.7758;-56.1806
UA;Mykolayiv Oblast;Mykolayiv (Zavods'kyi district);46.9679;31.9785
UA;Mykolaiv;Mykolaiv;46.9762;31.993
UA;Mykolaiv;Stara Bohdanivka;46.8378;31.9089
CH;Geneva;Geneva;46.2022;6.14569
US;Washington;Yakima;46.6021;-120.506
US;North Dakota;Bismarck;46.8083;-100.784
US;North Dakota;Bismarck;46.835;-100.766
US;North Dakota;Bismarck;46.8268;-100.792
US;Montana;Missoula;46.9137;-114.057
US;Washington;Walla Walla;46.062;-118.343
US;Michigan;Marquette;46.5642;-87.4081
US;North Dakota;Fargo (Westgate);46.8674;-96.8241
US;North Dakota;Bismarck;46.784;-100.755
US;North Dakota;Fargo (Downtown);46.8774;-96.7857
US;Michigan;Harvey;46.4298;-87.432
US;Idaho;Lapwai;46.4041;-116.805
US;Idaho;Pierce;46.4869;-115.798
US;Washington;Yakima;46.6;-120.523
US;North Dakota;Fargo (West Acres);46.859;-96.8463
US;Montana;Missoula (Grant Creek);46.9366;-114.02
US;Washington;Kennewick;46.2011;-119.103
US;Michigan;Iron River;46.0904;-88.6351
US;Idaho;Kooskia;46.1409;-115.979
US;Washington;Dayton;46.3238;-117.972
US;Montana;Anaconda;46.1312;-112.966
US;North Dakota;Fargo (West Acres);46.8542;-96.8425
US;North Dakota;Fargo;46.8196;-96.8477
US;Michigan;Iron River;46.103;-88.5428
US;Idaho;Kamiah;46.2232;-116.03
US;Michigan;Marquette;46.7529;-87.656
US;Michigan;Marquette;46.5395;-87.3918
US;Michigan;Negaunee;46.5115;-87.6018
US;Michigan;Ironwood;46.4726;-90.1646
US;Washington;Kennewick;46.2218;-119.228
US;Michigan;Gwinn;46.3415;-87.3845
US;North Dakota;Dickinson;46.9065;-102.783
US;Montana;Helena;46.6204;-112.024
US;Montana;Helena;46.5874;-112.039
US;Idaho;Moscow;46.7516;-116.995
US;Montana;Missoula (Westside);46.8833;-114.02
US;Montana;Boulder;46.2374;-112.124
US;Washington;Longview (Industrial Way);46.1216;-122.93
US;Montana;Butte;46.0085;-112.546
US;Washington;Kennewick;46.1778;-119.189
US;Michigan;Marenisco;46.38;-89.699
US;Minnesota;Cloquet;46.7218;-92.4612
US;North Dakota;Fargo;46.8267;-96.8625
US;Washington;Union Gap;46.5652;-120.481
US;Montana;Helena;46.5961;-112.038
FR;Nouvelle-Aquitaine;Coulon;46.324;-0.58489
FR;Bourgogne-Franche-Comté;Champagnole;46.7445;5.91354
CH;Geneva;Meyrin;46.2342;6.08025
CH;Valais;Riddes;46.1728;7.2236
CH;Bern;Bern;46.9481;7.44744
CH;Valais;Saxon;46.1494;7.17514
US;Washington;Longview;46.1382;-122.938
US;Washington;Montesano;46.9812;-123.603
FR;Nouvelle-Aquitaine;Saint-Denis-d'Oléron;46.0342;-1.37834
FR;Pays de la Loire;La Guérinière;46.9667;-2.23333
FR;Nouvelle-Aquitaine;La Brée-les-Bains;46.0145;-1.34928
