CN;Inner Mongolia;Hulun Buir;49.2114;119.756
UA;Ternopil;Berezhany;49.4439;24.9361
LU;Luxembourg;Luxembourg;49.6272;6.1607
DE;Baden-Württemberg;Oedheim;49.2418;9.26645
DE;Hesse;Viernheim;49.5365;8.58771
PL;Lesser Poland;Kościelisko;49.2907;19.8893
UA;Kharkiv;Kharkiv;49.9935;36.2304
UA;Kharkivs’ka Oblast’;Kharkiv;49.9808;36.2527
FR;Normandy;La Barre-de-Semilly;49.1123;-1.03405
KZ;East Kazakhstan;Zhanga Buqtyrma;49.6287;83.521
KZ;Aktyubinskaya Oblast’;Shubarkuduk;49.1439;56.482
LU;Luxembourg;Luxembourg (Luxembourg-Kirchberg);49.6375;6.16184
UA;Ivano-Frankivsk Oblast;Kalush;49.03;24.3655
UA;Ivano-Frankivsk;Kalush;49.024;24.3721
PL;Lesser Poland;Stara Wieś;49.6785;20.3996
PL;Lesser Poland;Limanowa;49.7059;20.422
LU;Diekirch;Schieren;49.8153;6.12958
PL;Silesia;Pszczyna;49.9804;18.9538
DE;Bavaria;Nuremberg;49.4521;11.0767
FR;Normandy;Basly;49.2786;-0.42321
FR;Normandy;Amayé-sur-Orne;49.0854;-0.43882
DE;Saarland;Sankt Wendel;49.4694;7.14533
DE;Saarland;Sankt Wendel;49.4693;7.1453
FR;Grand Est;Reims;49.2653;4.02853
FR;Normandy;Blonville-sur-Mer;49.3371;0.02709
FR;Normandy;Villerville;49.4006;0.12828
FR;Normandy;Sommervieu;49.293;-0.64596
KZ;Aktyubinskaya Oblast’;Kandyagash;49.4692;57.4187
KZ;Karaganda;Karaganda;49.8019;73.1021
KZ;Karaganda;Shakhtinsk;49.7071;72.5932
KZ;Karaganda;Abay;49.6354;72.8652
KZ;Karaganda;Qarqaraly;49.4124;75.4723
KZ;Karaganda;Novodolinskiy;49.7065;72.7081
KZ;East Kazakhstan;Ust-Kamenogorsk;49.9714;82.6059
KZ;Batys Qazaqstan;Qaratöbe;49.6891;53.5101
KZ;Aktyubinskaya Oblast’;Temir;49.1428;57.1274
KZ;East Kazakhstan;Öskemen Qalalyq Äkimshiligi;49.9749;82.6017
KZ;Karaganda;Karaganda;49.8047;73.1094
KZ;East Kazakhstan;Belogorskīy;49.4789;83.1414
KZ;Abai Region;Shar;49.5872;81.0488
DE;Rheinland-Pfalz;Speicher;49.9333;6.63333
DE;Baden-Wurttemberg;Weinsberg;49.1513;9.28762
DE;Bavaria;Großostheim;49.9198;9.07596
DE;Rheinland-Pfalz;Nierstein;49.87;8.33647
DE;Saarland;Wadern;49.5412;6.88774
DE;Bavaria;Dietfurt;49.0358;11.5862
DE;Bavaria;Veitsbronn;49.5124;10.888
DE;Rheinland-Pfalz;Ottersheim;49.1913;8.23176
DE;Baden-Wurttemberg;Weinheim;49.5489;8.66697
DE;Rheinland-Pfalz;Kaiserslautern;49.443;7.77161
DE;Hesse;Darmstadt;49.8717;8.65027
DE;Rheinland-Pfalz;Büchenbeuren;49.921;7.27999
DE;Bavaria;Regensburg;49.0151;12.1016
DE;Rheinland-Pfalz;Mainz;49.9842;8.2791
DE;Bavaria;Nuremberg;49.4542;11.0775
DE;Bavaria;Fürth;49.4759;10.9886
DE;Baden-Wurttemberg;Bretten;49.0368;8.70745
DE;Rheinland-Pfalz;Ludwigshafen am Rhein;49.4812;8.44641
DE;Hesse;Erzhausen;49.9553;8.6475
DE;Rheinland-Pfalz;Dirmstein;49.5633;8.24472
DE;Hesse;Wixhausen;49.9309;8.64972
DE;Rheinland-Pfalz;Freinsheim;49.5065;8.21186
DE;Rheinland-Pfalz;Dannstadt-Schauernheim;49.4403;8.30861
DE;Baden-Wurttemberg;Ubstadt-Weiher;49.163;8.63165
DE;Saarland;Heusweiler;49.3363;6.93036
DE;Rheinland-Pfalz;Friesenheim;49.8364;8.25694
DE;Saarland;Lebach;49.4112;6.90988
DE;Hesse;Rimbach;49.625;8.76306
DE;Baden-Wurttemberg;Helmstadt-Bargen;49.3143;8.99712
DE;Rheinland-Pfalz;Simmern;49.982;7.52351
DE;Bavaria;Schwandorf in Bayern;49.3253;12.1098
DE;Bavaria;Herzogenaurach;49.568;10.8856
DE;Rheinland-Pfalz;Deidesheim;49.4078;8.18445
DE;Baden-Wurttemberg;Mannheim;49.4891;8.46694
DE;Baden-Wurttemberg;Creglingen;49.4694;10.0312
DE;Bavaria;Gelchsheim;49.5724;10.0202
DE;Bavaria;Heideck;49.1337;11.1273
DE;Bavaria;Ebermannsdorf;49.3937;11.9358
DE;Baden-Wurttemberg;Ilvesheim;49.474;8.5674
DE;Rheinland-Pfalz;Altrich;49.957;6.91217
DE;Bavaria;Schwabach;49.3305;11.0235
DE;Bavaria;Heßdorf;49.6273;10.91
DE;Bavaria;Lauf an der Pegnitz;49.5139;11.2825
DE;Hesse;Bürstadt;49.6427;8.45936
DE;Bavaria;Sulzdorf;49.65;9.90389
DE;Baden-Wurttemberg;Flein;49.1031;9.21083
DE;Bavaria;Roßtal;49.3957;10.8885
DE;Rheinland-Pfalz;Vollmersbach;49.7333;7.31667
DE;Saarland;Beckingen;49.4;6.7
DE;Saarland;Dillingen;49.3556;6.72781
DE;Rheinland-Pfalz;Freckenfeld;49.065;8.11389
DE;Baden-Wurttemberg;Edingen-Neckarhausen;49.4572;8.60639
DE;Bavaria;Waldbrunn;49.7586;9.80361
DE;Baden-Wurttemberg;Heddesheim;49.5056;8.60361
DE;Bavaria;Aschaffenburg;49.977;9.15214
DE;Bavaria;Hallstadt;49.929;10.8754
DE;Bavaria;Bamberg;49.8987;10.9007
DE;Bavaria;Burgebrach;49.8283;10.7434
DE;Rheinland-Pfalz;Bad Kreuznach;49.8414;7.86713
DE;Rheinland-Pfalz;Altstadt;49.7549;6.63984
DE;Rheinland-Pfalz;Konz;49.7005;6.57652
DE;Rheinland-Pfalz;Trier;49.7556;6.63935
DE;Baden-Wurttemberg;Leingarten;49.1464;9.11694
DE;Baden-Wurttemberg;Linkenheim-Hochstetten;49.132;8.41244
DE;Baden-Wurttemberg;Heilbronn;49.1399;9.22054
DE;Rheinland-Pfalz;Föhren;49.8593;6.7648
DE;Bavaria;Kleinsendelbach;49.5956;11.1577
DE;Bavaria;Stein;49.4158;11.016
DE;Bavaria;Neumarkt in der Oberpfalz;49.2803;11.4628
DE;Bavaria;Obermichelbach;49.5312;10.9089
DE;Rheinland-Pfalz;Ehrang;49.8161;6.69823
DE;Bavaria;Röthenbach an der Pegnitz;49.483;11.2412
DE;Saarland;Saarbrücken;49.2326;7.00982
DE;Rheinland-Pfalz;Mutterstadt;49.4414;8.35611
DE;Baden-Wurttemberg;Untergruppenbach;49.0894;9.27516
DE;Bavaria;Stockstadt am Main;49.9701;9.07153
DE;Saarland;Eppelborn;49.4;6.96667
DE;Bavaria;Bayreuth;49.9478;11.5789
DE;Bavaria;Konzell (Menhaupten);49.0807;12.7222
DE;Bavaria;Nuremberg (Süd);49.4117;11.0543
DE;Rheinland-Pfalz;Mainz (Hechtsheim);49.9561;8.25541
DE;Baden-Wurttemberg;Mannheim (Oststadt);49.4766;8.48625
DE;Baden-Wurttemberg;Heidelberg;49.4077;8.69079
DE;Baden-Wurttemberg;Heilbronn;49.1268;9.21532
DE;Rheinland-Pfalz;Spires;49.3328;8.44582
DE;Baden-Wurttemberg;Ilsfeld;49.0609;9.26301
DE;Bavaria;Vohenstrauß;49.6238;12.3381
DE;Baden-Wurttemberg;Oberhausen-Rheinhausen;49.2739;8.47167
DE;Baden-Wurttemberg;Kronau;49.2225;8.63111
DE;Baden-Wurttemberg;Weingarten;49.0546;8.52678
DE;Rheinland-Pfalz;Haßloch;49.3628;8.25806
DE;Rheinland-Pfalz;Neustadt an der Weinstraße;49.3501;8.13886
DE;Rheinland-Pfalz;Etschberg;49.5167;7.43333
DE;Rheinland-Pfalz;Fußgönheim;49.4611;8.29222
DE;Rheinland-Pfalz;Böhl-Iggelheim;49.3806;8.30389
DE;Baden-Wurttemberg;Wössingen;49.0121;8.60754
DE;Hesse;Alsbach-Hähnlein;49.7386;8.59583
DE;Baden-Wurttemberg;Ilshofen;49.1702;9.91825
DE;Rheinland-Pfalz;Kenn;49.8;6.71667
DE;Saarland;Quierschied;49.3167;7.05
DE;Baden-Wurttemberg;Bad Mergentheim;49.4925;9.77361
DE;Hesse;Babenhausen;49.9652;8.95129
DE;Baden-Wurttemberg;Hockenheim;49.3233;8.55194
DE;Baden-Wurttemberg;Brackenheim;49.0779;9.06601
DE;Hesse;Lampertheim;49.5979;8.4725
DE;Rheinland-Pfalz;Altrip;49.4356;8.49472
DE;Hesse;Groß-Zimmern;49.8741;8.82898
DE;Rheinland-Pfalz;Pirmasens;49.2015;7.60529
DE;Baden-Wurttemberg;Eppelheim;49.4019;8.63644
DE;Baden-Wurttemberg;Crailsheim;49.1344;10.0719
DE;Baden-Wurttemberg;Schwaigern;49.1449;9.05525
DE;Bavaria;Oberasbach;49.4227;10.9577
DE;Bavaria;Oberhaid;49.9325;10.8147
DE;Bavaria;Rückersdorf;49.4976;11.2475
DE;Bavaria;Weißenburg in Bayern;49.0309;10.9722
DE;Bavaria;Niedernberg;49.9122;9.13694
DE;Bavaria;Bad Windsheim;49.5027;10.4154
DE;Rheinland-Pfalz;Mehring;49.8;6.83333
DE;Bavaria;Bindlach;49.9817;11.6139
DE;Baden-Wurttemberg;Eberbach;49.4668;8.99016
DE;Baden-Wurttemberg;Graben-Neudorf;49.167;8.49243
DE;Baden-Wurttemberg;Karlsdorf-Neuthard;49.1347;8.53028
DE;Hesse;Gernsheim;49.7531;8.48859
DE;Rheinland-Pfalz;Maxdorf;49.4881;8.29167
DE;Bavaria;Miltenberg;49.7045;9.26725
CA;British Columbia;Vancouver (East Side);49.2689;-123.103
UA;Vinnytsia;Bar;49.0736;27.674
UA;Vinnytsia;Vinnytsia;49.2322;28.4687
DE;Bavaria;Klingenberg am Main (Trennfurt);49.7803;9.18332
DE;Bavaria;Nuremberg;49.4543;11.0746
DE;Hesse;Darmstadt;49.8776;8.62854
DE;Bavaria;Falkenstein;49.0976;12.4869
DE;Rheinland-Pfalz;Wörth am Rhein;49.0514;8.25734
DE;Bavaria;Feucht;49.3754;11.2129
DE;Baden-Wurttemberg;Balzfeld;49.2689;8.78919
DE;Saarland;Sankt Ingbert;49.2787;7.10678
DE;Saarland;Sankt Ingbert;49.2788;7.10487
DE;Bavaria;Teisnach;49.0247;13.0045
DE;Bavaria;Viechtach (Blossersberg);49.0817;12.8855
FR;Normandy;Luc-sur-Mer;49.3145;-0.35499
JE;St Helier;Saint Helier;49.1805;-2.10323
JE;St Helier;Saint Helier;49.1822;-2.10213
JE;St Helier;Saint Helier;49.188;-2.10491
JE;St John;St. John;49.2456;-2.13861
CZ;Jihočeský kraj;Tábor;49.413;14.6775
CZ;Vysočina;Černovice;49.3727;14.9609
JE;St Clement;Le Hocq;49.1682;-2.06178
DE;Baden-Wurttemberg;Ingelfingen;49.3003;9.65303
DE;Baden-Wurttemberg;Krautheim;49.3879;9.63553
FR;Normandy;Eslettes;49.5604;1.03394
UA;Khmelnytskyi;Khmelnytskyi;49.423;26.9871
DE;Saarland;Perl;49.4717;6.38134
DE;Saarland;Saarlouis;49.3142;6.7413
DE;Saarland;Saarlouis;49.3143;6.74123
DE;Rheinland-Pfalz;Wartenberg-Rohrbach;49.5276;7.85258
DE;Baden-Wurttemberg;Karlsruhe (Nordweststadt);49.0291;8.35695
DE;Baden-Wurttemberg;Karlsruhe (Nordweststadt);49.0291;8.35705
DE;Baden-Württemberg;Eppingen (Mühlbach);49.1045;8.89416
FR;Île-de-France;Freneuse;49.0483;1.60168
FR;Grand Est;Jury;49.0697;6.25263
FR;Grand Est;Fameck;49.299;6.10915
FR;Grand Est;Hagondange;49.2488;6.16374
FR;Grand Est;Metz;49.1191;6.17269
FR;Grand Est;Pouilly;49.0501;6.18555
FR;Grand Est;Montigny-lès-Metz;49.0956;6.15271
FR;Grand Est;Le Ban Saint-Martin;49.1225;6.15111
FR;Grand Est;Plappeville;49.1302;6.12471
FR;Grand Est;Audun-le-Tiche;49.4722;5.9555
FR;Grand Est;Lexy;49.5;5.72985
FR;Grand Est;Ars-sur-Moselle;49.0779;6.0742
FR;Grand Est;Fontoy;49.356;5.9925
FR;Grand Est;Saint-Julien-lès-Metz;49.1329;6.2024
FR;Grand Est;Thil;49.473;5.90821
FR;Grand Est;Mont-Saint-Martin;49.5436;5.78337
FR;Grand Est;Nilvange;49.3422;6.04964
FR;Grand Est;Briey;49.2492;5.93975
FR;Normandy;Caen;49.1858;-0.35912
FR;Normandy;Mondeville;49.175;-0.32238
FR;Normandy;Malaunay;49.5271;1.04292
FR;Normandy;Le Mesnil-sous-Jumièges;49.4112;0.85972
FR;Île-de-France;Conflans-Sainte-Honorine;49.0016;2.09694
FR;Île-de-France;Dammartin-en-Goële;49.0542;2.67777
FR;Grand Est;Saint-Brice-Courcelles;49.2667;3.98333
FR;Grand Est;Magenta;49.049;3.96882
FR;Grand Est;Sarreguemines;49.11;7.06747
FR;Hauts-de-France;Beauvais;49.4333;2.08333
FR;Hauts-de-France;Saint-Quentin;49.8489;3.28757
FR;Grand Est;Guénange;49.2994;6.20535
FR;Grand Est;Pontpierre;49.0437;6.64008
FR;Grand Est;Freistroff;49.2819;6.48996
FR;Grand Est;Dalem;49.2407;6.61162
FR;Grand Est;Metzervisse;49.3148;6.28277
FR;Île-de-France;Limetz-Villez;49.0667;1.55
FR;Normandy;Équeurdreville-Hainneville;49.6487;-1.65306
FR;Normandy;Blainville-sur-Mer;49.066;-1.5834
FR;Normandy;Beaumont-Hague;49.6639;-1.83822
FR;Grand Est;Caurel;49.3039;4.15305
FR;Grand Est;Vrigne-aux-Bois;49.7372;4.85567
FR;Grand Est;Merfy;49.2963;3.95
FR;Grand Est;Condé-sur-Marne;49.0443;4.18036
FR;Île-de-France;Saint-Brice-sous-Forêt;49.0013;2.35361
FR;Grand Est;Saint-Masmes;49.3121;4.26172
FR;Grand Est;Fumay;49.9913;4.70771
CZ;Pardubický;Polička;49.7145;16.2671
UA;Khmelnytskyi;Viytivtsi;49.4924;26.4397
UA;Vinnytsia;Lypovets;49.2278;29.0567
DE;Bavaria;Lappersdorf (Kareth);49.0532;12.0727
DE;Bavaria;Lappersdorf (Kareth);49.0533;12.0726
DE;Baden-Wurttemberg;Heddesbach;49.4803;8.82806
UA;Khmelnytskyi;Horodok;49.1721;26.5636
UA;Ternopil;Ternopil;49.554;25.5907
UA;Ternopil;Ternopil;49.551;25.5952
UA;Ternopil;Velyki Birky;49.5246;25.7549
UA;Khmelnytskyi;Teofipol;49.8389;26.4204
UA;Ternopil;Petrykiv;49.5278;25.581
UA;Ternopil;Buchach;49.0623;25.395
UA;Ternopil;Velyka Berezovytsya;49.4987;25.6123
UA;Ternopil;Hrymailiv;49.3296;26.0139
UA;Ternopil;Zbarazh;49.6616;25.7792
UA;Ternopil;Trybukhivtsi;49.041;25.4555
UA;Ternopil;Ternopil;49.5629;25.64
UA;Ternopil;Lanivtsi;49.861;26.0905
UA;Ternopil;Pidvolochysk;49.5313;26.144
UA;Ternopil;Mykulyntsi;49.3919;25.6068
UA;Ternopil;Khorostkiv;49.2138;25.9196
UA;Khmelnytskyi;Chemerivtsi;49.0091;26.34
UA;Ternopil;Vyshnivets;49.9009;25.7438
UA;Ternopil;Druzhba;49.37;25.6381
UA;Ternopil;Husiatyn;49.0712;26.2046
UA;Ternopil;Terebovlia;49.2997;25.6889
UA;Ternopil;Belaya;49.029;25.7706
UA;Ternopil;Skalat;49.4254;25.976
CZ;Zlín;Vsetín;49.3387;17.9962
UA;Kharkivs’ka Oblast’;Vysokyi;49.8916;36.1217
CZ;Jihočeský kraj;Adamov;49.0005;14.5395
UA;Lviv;Lviv (Shevchenkivskyi District);49.8633;24.0442
SK;Žilina Region;Liptovský Mikuláš (Podbreziny);49.0814;19.6491
SK;Žilina Region;Námestovo;49.4111;19.4871
GG;St Peter Port;St Peter Port;49.4598;-2.53511
DE;Baden-Wurttemberg;Karlsruhe (Grünwinkel);49.0013;8.36661
DE;Baden-Wurttemberg;Oedheim;49.2403;9.25333
DE;Rheinland-Pfalz;Spires;49.3208;8.43111
DE;Rheinland-Pfalz;Otterstadt;49.3722;8.44778
DE;Hesse;Eppertshausen;49.9506;8.85389
DE;Rheinland-Pfalz;Ludwigshafen am Rhein;49.4724;8.44408
DE;Rheinland-Pfalz;Ludwigshafen am Rhein;49.4701;8.42306
CZ;Zlín;Vsetín;49.3334;18.0015
PL;Lesser Poland;Wiśniowa;49.7875;20.115
DE;Baden-Wurttemberg;Karlsruhe (Grünwinkel);49.0012;8.36648
DE;Bavaria;Auerbach;49.692;11.6333
DE;Bavaria;Hollfeld;49.9379;11.2915
DE;Bavaria;Stettfeld;49.9709;10.7217
DE;Saarland;Saarlouis;49.3142;6.74108
DE;Baden-Wurttemberg;Östringen;49.2191;8.71192
DE;Rheinland-Pfalz;Kleinfischlingen;49.2633;8.18694
LU;Esch-sur-Alzette;Bettembourg;49.5112;6.11048
CZ;Central Bohemia;Beroun (Centrum);49.9648;14.0737
CZ;Central Bohemia;Beroun;49.9638;14.072
CZ;Central Bohemia;Hořovice;49.836;13.9027
CZ;Zlín;Slavičín;49.0835;17.8844
CZ;Zlín;Lačnov;49.1788;18.0165
CZ;Zlín;Štítná nad Vláří;49.0688;17.9827
CZ;Zlín;Slavičín;49.088;17.8735
CZ;Zlín;Valašské Klobouky;49.1406;18.0076
CZ;Zlín;Vysoké Pole;49.1774;17.9373
FR;Hauts-de-France;Morlincourt;49.5698;3.03629
LU;Luxembourg;Luxembourg;49.6116;6.13193
DE;Rheinland-Pfalz;Mainz;49.9779;8.23647
FR;Normandy;Le Havre;49.4912;0.110411
FR;Grand Est;Magenta;49.0571;3.96432
FR;Île-de-France;Butry-sur-Oise;49.0897;2.2023
RU;Rostov;Kashary;49.0397;41.0043
DE;Saarland;Saarbrücken (Burbach);49.2394;6.95966
DE;Saarland;Saarbrücken (West);49.2394;6.95966
DE;Baden-Wurttemberg;Mosbach;49.3489;9.12938
DE;Hesse;Darmstadt;49.8728;8.65119
DE;Baden-Wurttemberg;Mannheim;49.4875;8.46604
LU;Esch-sur-Alzette;Berchem;49.5403;6.12917
DE;Bavaria;Sinzing;49;12.0333
DE;Bavaria;Regensburg;49.0134;12.1016
DE;Bavaria;Regensburg;49.0162;12.1212
DE;Baden-Wurttemberg;Heidelberg;49.3649;8.68633
FR;Normandy;Val-de-Reuil;49.2532;1.17763
FR;Normandy;Quittebeuf;49.1098;1.01583
FR;Normandy;Saint-Mards-de-Blacarville;49.3705;0.52099
PL;Subcarpathia;Pilzno;49.9788;21.2923
PL;Lesser Poland;Skawina;49.9752;19.8287
PL;Subcarpathia;Babica;49.9348;21.8703
PL;Lesser Poland;Białka Tatrzańska;49.3898;20.1051
PL;Lesser Poland;Rzeszotary;49.9463;19.9728
PL;Subcarpathia;Olszanica;49.4774;22.4438
PL;Subcarpathia;Krosno;49.6887;21.7706
DE;Hesse;Pfungstadt;49.8139;8.6167
DE;Hesse;Breuberg (Sandbach);49.8205;9.01952
SK;Žilina Region;Ružomberok;49.0748;19.3075
SK;Žilina Region;Námestovo;49.4079;19.4803
LU;Remich;Canach;49.6069;6.32583
LU;Luxembourg;Steinsel;49.6679;6.12441
CZ;South Moravian;Brno (Brno-jih);49.1854;16.6257
LU;Luxembourg;Luxembourg;49.5807;6.11162
UA;Vinnytsia;Vinnytsia;49.2331;28.4682
UA;Kharkivs’ka Oblast’;Kharkiv (Kyivskyi Rayon);49.9942;36.2338
UA;Kharkiv;Kharkiv (Kyivskyi District);49.9942;36.2338
CZ;Central Bohemia;Strančice;49.9481;14.6775
CZ;Central Bohemia;Jesenice;49.98;14.5302
CZ;Central Bohemia;Kostelec nad Černými Lesy;49.994;14.8592
DE;Rheinland-Pfalz;Trier;49.756;6.64915
DE;Bavaria;Herzogenaurach;49.5782;10.8819
DE;Rheinland-Pfalz;Schweich;49.8292;6.75344
DE;Hesse;Darmstadt (Darmstadt-Nord);49.8852;8.65141
PL;Subcarpathia;Brzostek;49.8795;21.411
PL;Silesia;Laliki;49.5345;19.0055
PL;Lesser Poland;Wilczyce;49.6671;20.2011
PL;Lesser Poland;Krościenko nad Dunajcem;49.4408;20.4262
PL;Lesser Poland;Siedliska;49.8716;20.9963
PL;Lesser Poland;Wołowice;49.9888;19.7263
PL;Lesser Poland;Gorlice;49.6556;21.1604
PL;Silesia;Cięcina;49.6022;19.141
PL;Lesser Poland;Libertów;49.9724;19.8946
PL;Silesia;Cieszyn;49.7513;18.6321
PL;Silesia;Ślemień;49.7183;19.3673
PL;Silesia;Jastrzębie Zdrój;49.9554;18.5748
PL;Silesia;Janowice;49.885;19.0938
PL;Silesia;Czechowice-Dziedzice;49.9134;19.0048
PL;Lesser Poland;Dębno;49.967;20.7198
FR;Île-de-France;Taverny;49.0222;2.21179
UA;Lviv;Solonka;49.7562;24.0103
UA;Lviv;Bryukhovychi;49.9047;23.9597
UA;Lviv;Lviv;49.8397;24.0297
UA;Lviv;Lviv (Sykhivskyi District);49.794;24.0649
UA;Lviv;Lviv;49.8383;24.0232
FR;Normandy;Aviron;49.05;1.11667
FR;Normandy;Houlgate;49.299;-0.08153
FR;Normandy;Saint-Étienne-du-Rouvray;49.3856;1.06931
FR;Normandy;Le Havre;49.4861;0.161767
UA;Kharkivs’ka Oblast’;Rohan';49.9029;36.4812
UA;Cherkasy;Lysyanka;49.2505;30.8278
UA;Khmelnytskyi;Khmelnytskyi;49.4184;26.9794
UA;Lviv;Rozvadiv;49.5031;23.9582
UA;Lviv;Stryi;49.2617;23.8472
UA;Ternopil;Berezhany;49.4458;24.9369
UA;Lviv;Mostyska;49.7947;23.1508
UA;Lviv;Dubliany;49.9041;24.0864
UA;Lviv;Sudova Vyshnia;49.7889;23.3722
UA;Kharkivs’ka Oblast’;Kulynychi;49.9818;36.3828
UA;Poltava;Reshetylivka;49.563;34.079
UA;Poltava;Kremenchuk;49.0625;33.4048
UA;Poltava;Velyka Bahachka;49.7982;33.7201
UA;Kharkivs’ka Oblast’;Kivsharivka;49.6303;37.6775
UA;Poltava;Kobeliaky;49.1494;34.2019
UA;Vinnytsia;Desna;49.2817;28.5403
UA;Vinnytsia;Zhmerynka;49.0352;28.114
UA;Vinnytsia;Voronovytsya;49.109;28.6868
UA;Zhytomyr;Hryshkivtsi;49.9363;28.6047
UA;Kyiv;Skvyra;49.733;29.6643
UA;Kyiv;Bila Tserkva;49.8004;30.1285
UA;Cherkasy;Cherkasy;49.4445;32.0574
UA;Cherkasy;Shpola;49.0129;31.3926
UA;Zhytomyr;Ivanopil;49.8606;28.2156
UA;Vinnytsia;Koziatyn;49.7164;28.8386
UA;Kyiv;Myronivka;49.6601;30.9823
UA;Kyiv;Rzhyshchiv;49.9673;31.0407
UA;Zhytomyr;Popilnia;49.9532;29.4527
UA;Vinnytsia;Dashiv;49.0035;29.4397
UA;Kyiv;Tsybli;49.9948;31.5628
UA;Cherkasy;Chervona Sloboda;49.3728;32.1574
UA;Poltava;Hradyzk;49.2394;33.1394
UA;Cherkasy;Horodyshche;49.2911;31.4403
KZ;Aktyubinskaya Oblast’;Taldyq;49.0776;59.8608
PL;Silesia;Zebrzydowice;49.8724;18.6232
PL;Silesia;Kończyce Małe;49.8582;18.6296
PL;Silesia;Zebrzydowice;49.8779;18.6113
PL;Subcarpathia;Dubiecko;49.8261;22.3912
PL;Lesser Poland;Jabłonka;49.4797;19.6937
DE;Baden-Wurttemberg;Karlsruhe (Innenstadt-West);49.0093;8.39316
FR;Normandy;Bois-Guillaume;49.4622;1.12181
FR;Normandy;Ouistreham;49.2757;-0.2591
UA;Poltava;Kremenchuk (Avtozavods'kyi district);49.0642;33.4071
CA;British Columbia;Vancouver (Central Vancouver);49.2847;-123.112
CA;Manitoba;Winnipeg;49.8954;-97.1385
FR;Hauts-de-France;Chamant;49.2199;2.61176
FR;Hauts-de-France;Méharicourt;49.7977;2.73196
FR;Grand Est;Bazeilles;49.6765;4.97752
FR;Hauts-de-France;Nogent-sur-Oise;49.2716;2.47074
CA;British Columbia;Richmond;49.1666;-123.134
CA;British Columbia;Coquitlam;49.2838;-122.793
CA;British Columbia;Burnaby;49.2488;-122.981
CA;British Columbia;Surrey;49.1913;-122.849
DE;Baden-Wurttemberg;Heidelberg;49.3988;8.67243
DE;Bavaria;Markt Bibart;49.6479;10.4249
DE;Bavaria;Urspringen;49.9017;9.67123
CA;British Columbia;Cranbrook;49.5105;-115.765
CA;British Columbia;Cranbrook;49.4999;-115.769
CA;British Columbia;Vancouver (Grandview-Woodlands);49.2789;-123.065
CA;British Columbia;Keremeos;49.1997;-119.836
CA;British Columbia;Osoyoos;49.032;-119.467
CA;British Columbia;Port Coquitlam;49.2664;-122.769
